booking_id,customer_id,hotel_id,hotel_name,hotel_region,booking_date,check_in_date,check_out_date,nights_stay,lead_time_days,guest_type,num_guests,room_type,total_amount,avg_daily_rate,season,loyalty_tier,booking_channel,payment_type,is_cancelled,special_request,promotion_applied,purpose_of_visit,customer_age,customer_gender
BKG-0000001,CUST-000370,H001,Cinnamon Grand Colombo,Colombo,3/2/2026,4/28/2026,5/4/2026,6,57,Couple,2,Suite,2724.06,454.01,Shoulder,Platinum,Mobile App,Online,0,Quiet Room,0,Business,48,Female
BKG-0000002,CUST-004126,H005,Cinnamon Bey Beruwala,West Coast,12/14/2025,1/26/2026,1/27/2026,1,43,Group,9,Family Room,173.13,173.13,Off-Peak,None,Website,Cash,0,None,0,Leisure,44,Male
BKG-0000003,CUST-000005,H006,Cinnamon Citadel Kandy,Kandy,7/8/2025,9/24/2025,9/26/2025,2,78,Couple,2,Deluxe,250.7,125.35,Off-Peak,None,Travel Agent,Card,0,Extra Bed,1,Event,31,Female
BKG-0000004,CUST-000860,H003,Cinnamon Red Colombo,Colombo,2/5/2025,2/25/2025,2/27/2025,2,20,Couple,2,Standard,192.78,96.39,Off-Peak,None,Mobile App,Card,0,None,0,Business,22,Female
BKG-0000005,CUST-002541,H003,Cinnamon Red Colombo,Colombo,12/21/2024,2/19/2025,2/22/2025,3,60,Group,6,Family Room,523.92,174.64,Shoulder,Silver,Mobile App,Card,0,None,0,Leisure,32,Male
BKG-0000006,CUST-000156,H002,Cinnamon Lakeside Colombo,Colombo,4/8/2025,6/4/2025,6/9/2025,5,57,Couple,2,Deluxe,1061.55,212.31,Off-Peak,Gold,Website,Online,0,Quiet Room,0,Relaxation,65,Male
BKG-0000007,CUST-003475,H002,Cinnamon Lakeside Colombo,Colombo,12/20/2024,3/13/2025,3/14/2025,1,83,Couple,2,Deluxe,354.46,354.46,Holiday,Platinum,Walk-in,Cash,0,None,0,Leisure,35,Male
BKG-0000008,CUST-001844,H004,Cinnamon Bentota Beach,South Coast,8/18/2025,10/5/2025,10/12/2025,7,48,Couple,2,Deluxe,2169.16,309.88,Holiday,Silver,Walk-in,Card,0,Extra Bed,0,Leisure,,Female
BKG-0000009,CUST-003607,H003,Cinnamon Red Colombo,Colombo,7/22/2025,8/29/2025,8/30/2025,1,38,Solo,1,Standard,105.51,105.51,Shoulder,None,Mobile App,Cash,0,Extra Bed,0,Leisure,32,Female
BKG-0000010,CUST-000233,H001,Cinnamon Grand Colombo,Colombo,3/18/2026,6/13/2026,6/19/2026,6,87,Family,3,Deluxe,2492.82,415.47,Holiday,Platinum,Travel Agent,Online,0,Sea View,0,Relaxation,58,Female
BKG-0000011,CUST-001125,H001,Cinnamon Grand Colombo,Colombo,6/3/2025,9/14/2025,9/18/2025,4,103,Couple,2,Suite,1421.28,355.32,Off-Peak,Platinum,Website,Online,0,High Floor,0,Event,48,Other
BKG-0000012,CUST-003764,H001,Cinnamon Grand Colombo,Colombo,3/23/2025,6/23/2025,6/28/2025,5,92,Family,3,Deluxe,1338.7,267.74,Shoulder,Silver,Travel Agent,Cash,0,Quiet Room,0,Leisure,54,Female
