feedback_id,customer_id,hotel_id,hotel_name,stay_date,overall_rating,cleanliness_rating,service_rating,room_comfort_rating,staff_friendliness,value_for_money,location_rating,food_quality_rating,wifi_quality_rating,noise_level_rating,response_time_rating,would_recommend,purpose_of_visit,experience_recommendation
FDB-0005955,CUST-001982,H001,Cinnamon Grand Colombo,11/18/2024,4,4,4,4,4,3,5,4,3,3,4,1,Business,
FDB-0008670,CUST-002897,H002,Cinnamon Lakeside Colombo,11/18/2024,4,4,4,4,4,4,5,4,4,3,4,1,Business,
FDB-0008693,CUST-002907,H002,Cinnamon Lakeside Colombo,11/18/2024,4,4,5,4,5,3,4,4,4,4,5,1,Event,
FDB-0010558,CUST-003529,H001,Cinnamon Grand Colombo,11/18/2024,4,4,5,3,5,3,4,4,3,4,5,1,Adventure,
FDB-0000628,CUST-000223,H003,Cinnamon Red Colombo,11/18/2024,4,4,4,4,4,3,4,4,3,4,4,1,Event,
FDB-0002416,CUST-000835,H005,Cinnamon Bey Beruwala,11/18/2024,4,4,3,4,3,3,5,3,4,3,3,1,Leisure,
FDB-0008595,CUST-002872,H003,Cinnamon Red Colombo,11/18/2024,4,4,4,4,4,3,5,4,4,3,4,1,Business,
FDB-0010830,CUST-003610,H006,Cinnamon Citadel Kandy,11/18/2024,4,4,4,4,4,2,4,4,4,4,4,1,Leisure,
FDB-0011105,CUST-003703,H003,Cinnamon Red Colombo,11/18/2024,3,3,2,3,2,4,4,2,5,3,2,1,Relaxation,
FDB-0011634,CUST-003873,H005,Cinnamon Bey Beruwala,11/18/2024,4,4,4,4,4,3,4,4,4,4,4,1,Event,
FDB-0011920,CUST-003968,H003,Cinnamon Red Colombo,11/18/2024,4,4,4,4,4,3,5,4,5,4,4,1,Business,
FDB-0012040,CUST-004009,H005,Cinnamon Bey Beruwala,11/18/2024,4,4,4,4,4,3,4,4,4,4,4,1,Leisure,
FDB-0012466,CUST-004143,H006,Cinnamon Citadel Kandy,11/18/2024,3,3,3,3,3,3,4,3,3,4,3,1,Leisure,
FDB-0013993,CUST-004610,H005,Cinnamon Bey Beruwala,11/18/2024,4,4,4,4,4,3,4,4,3,2,4,1,Business,
FDB-0000330,CUST-000115,H002,Cinnamon Lakeside Colombo,11/18/2024,3,3,3,3,3,3,4,3,5,4,3,0,Leisure,
FDB-0001280,CUST-000435,H001,Cinnamon Grand Colombo,11/18/2024,3,3,3,2,3,3,4,3,5,3,3,1,Leisure,
FDB-0001882,CUST-000643,H001,Cinnamon Grand Colombo,11/18/2024,3,3,2,3,2,3,4,3,4,3,2,0,Relaxation,
FDB-0001982,CUST-000684,H002,Cinnamon Lakeside Colombo,11/18/2024,3,3,3,2,3,3,4,2,4,4,3,1,Leisure,
FDB-0002961,CUST-001020,H001,Cinnamon Grand Colombo,11/18/2024,3,3,3,3,3,3,4,3,5,4,3,1,Culture,
FDB-0003176,CUST-001085,H002,Cinnamon Lakeside Colombo,11/18/2024,3,3,3,3,3,4,4,2,5,4,3,0,Adventure,
FDB-0004938,CUST-001658,H001,Cinnamon Grand Colombo,11/18/2024,3,3,3,3,3,4,4,2,4,3,3,1,Event,
FDB-0007962,CUST-002657,H001,Cinnamon Grand Colombo,11/18/2024,4,4,5,4,5,3,5,4,4,4,5,1,Business,
