customer_id,age,gender,country,price_sensitivity,quality_expectations,loyalty_propensity,spontaneity,social_orientation,income_level,travel_frequency
CUST-000001,49,Male,Northern Mariana Islands,0.269,0.751,0.817,0.334,1,1,7
CUST-000002,55,Female,Bouvet Island (Bouvetoya),0.255,0.875,0.911,0.175,2,1,6
CUST-000003,40,Female,Anguilla,0.505,0.691,0.504,0.557,1,0.677,6
CUST-000004,62,Female,Saint Vincent and the Grenadines,0.118,0.794,0.753,0.183,2,1,8
CUST-000005,31,Female,Falkland Islands (Malvinas),0.524,0.595,0.512,0.55,1,0.552,3
CUST-000006,32,Male,Ecuador,0.76,0.361,0.33,0.673,0,0,4
CUST-000007,28,Female,Czech Republic,0.936,0.296,,0.685,2,0,4
CUST-000008,30,Female,Burundi,0.811,0.211,0.325,0.658,2,0,2
CUST-000009,23,Male,Saint Pierre and Miquelon,0.939,0.334,0.102,0.62,2,0,3
CUST-000010,32,Male,Bosnia and Herzegovina,,0.334,0.276,0.893,1,0,2
CUST-000011,36,Male,Philippines,0.679,0.508,0.418,0.236,3,0.269,6
CUST-000012,47,Female,Saint Vincent and the Grenadines,0.146,0.802,0.797,0.258,2,1,8
CUST-000013,45,Male,Uganda,0.124,0.751,0.88,0.116,1,1,11
CUST-000014,47,Male,Mayotte,0.201,0.808,0.871,0.252,2,1,12
CUST-000015,42,Male,Benin,0.479,0.632,0.495,0.507,1,0.619,8
CUST-000016,34,Female,Nauru,0.57,0.559,0.527,0.46,2,0.486,3
CUST-000017,62,Female,Jamaica,0.128,0.758,0.843,0.199,1,1,8
CUST-000018,38,Female,Antigua and Barbuda,0.726,0.569,0.503,0.329,2,0.32,3
CUST-000019,50,Male,Antarctica (the territory South of 60 deg S),0.267,0.789,0.745,0.3,1,1,12
CUST-000020,40,Female,Bermuda,0.599,0.592,0.51,0.458,1,0.511,5
CUST-000021,38,Male,Cuba,0.416,0.79,0.689,0.368,0,0.94,9
CUST-000022,32,Female,Djibouti,0.58,0.564,0.49,0.523,2,0.486,8
CUST-000023,31,Male,Madagascar,0.842,0.402,0.34,0.651,1,0,3
CUST-000024,42,Female,Netherlands,0.428,0.655,0.69,0.37,1,0.772,15
CUST-000025,35,Male,Anguilla,0.555,0.597,0.422,0.529,1,0.539,5
CUST-000026,49,Female,Monaco,0.139,0.897,0.857,0.282,1,1,12
CUST-000027,36,Female,Congo,0.563,0.616,0.554,0.443,1,0.558,7
CUST-000028,43,Female,Saint Barthelemy,0.5,0.694,0.794,0.291,0,0.783,12
CUST-000029,24,Male,Pakistan,0.828,0.299,0.226,0.799,2,0,3
CUST-000030,30,Male,Reunion,0.74,0.342,0.241,0.862,0,0,5
CUST-000031,56,Male,Mayotte,0.252,0.796,0.766,0.159,1,1,10
CUST-000032,42,Female,Italy,0.478,0.684,0.576,0.408,2,0.681,3
CUST-000033,43,Female,Cyprus,0.353,0.709,0.643,0.363,1,0.874,9
CUST-000034,61,Male,Kiribati,0.295,0.795,0.801,0.304,2,1,9
CUST-000035,47,Female,Namibia,0.502,0.676,0.51,0.246,3,0.561,3
CUST-000036,36,Male,Fiji,0.591,0.643,0.43,0.246,3,0.477,2
CUST-000037,29,Female,Sudan,0.82,0.348,0.262,0.723,0,0,2
CUST-000038,24,Female,Trinidad and Tobago,0.74,0.357,0.11,0.772,0,0,3
CUST-000039,26,Female,Albania,0.829,0.301,0.342,0.791,2,0,4
CUST-000040,47,Male,Senegal,0.221,0.844,0.82,0.155,2,1,10
CUST-000041,39,Female,Sri Lanka,0.464,0.636,0.765,0.266,1,0.732,15
CUST-000042,37,Male,Cayman Islands,0.377,0.622,0.651,0.415,1,0.758,10
CUST-000043,37,Male,Qatar,0.495,0.623,0.408,0.557,1,0.6,3
CUST-000044,47,Female,Jamaica,,0.608,0.4,0.388,3,0.367,6
CUST-000045,58,Male,Guam,0.109,0.856,0.757,0.301,2,1,8
CUST-000046,31,Female,Fiji,0.927,0.409,0.244,0.728,1,0,5
CUST-000047,52,Female,Cape Verde,0.117,0.87,0.836,0.164,1,1,11
CUST-000048,39,Female,Cuba,0.516,0.524,0.401,0.531,2,0.47,6
CUST-000049,46,Male,Serbia,0.385,0.717,0.665,0.334,1,0.868,12
CUST-000050,32,Male,Guadeloupe,0.751,0.338,0.239,0.654,2,0,5
CUST-000051,26,Other,Bosnia and Herzegovina,0.844,0.394,0.2,0.641,2,0,2
CUST-000052,39,Male,Bermuda,0.675,0.532,0.454,0.28,3,0.301,6
CUST-000053,64,Female,Hong Kong,0.241,0.782,0.941,0.101,1,1,12
CUST-000054,24,Male,Bhutan,0.85,0.222,0.166,0.711,2,0,2
CUST-000055,47,Female,Guinea-Bissau,0.38,0.731,0.672,0.441,0,0.887,10
CUST-000056,65,Female,Tanzania,0.102,0.92,0.933,0.23,1,1,6
CUST-000057,31,Female,Guatemala,0.875,0.354,0.269,,2,0,2
CUST-000058,30,Male,Netherlands,0.455,0.58,0.534,0.481,1,0.568,7
CUST-000059,35,Female,Estonia,0.314,0.618,0.671,0.407,1,0.785,13
CUST-000060,53,Male,Sri Lanka,0.293,0.841,0.801,0.101,1,1,9
CUST-000061,61,Male,Aruba,0.114,0.809,0.937,0.301,2,1,10
